"key","LV"
"PIAT_001","Esi sveicinats Skanaugstumu izteles testa!"
"PIAT_002","Šaja testa Tev vajag izteloties skanas ar bultinas palidzibu."
"PIAT_003","Katrs testa uzdevuma izmeginajums sakas ar vardu 'Sakt'. Tu dzirdesi augšupejošu mažora gammu (secigu skanu secibu), kas nosaka tonalitati vai kopejo kontekstu šim piemeram. Pec tam tu ekrana redzesi punktu un dzirdesi sakuma skanu. Spied 'Talak', lai to izmeginatu."
"PIAT_004","Luk, piemers:"
"PIAT_005","Vairakas augšupejošas un/vai lejupejošas bultinas paradisies noteikta seciba, ar atbilstošu skanu, kas gamma iet uz augšu vai uz leju. Spied 'Talak', lai redzetu šo bultinu paradišanos pec augšupejošas gammas un sakuma skanas."
"PIAT_006","Luk, piemers, kad bultina paradas pec augšupejošas gammas un pirmas skanas."
"PIAT_007","Kaut kada izmeginajuma bridi paradisies bultina bez skanas. Tavs uzdevums ir izteloties šo iztrukstošo skanu. Katra izmeginajuma reize iztelojamo skanu skaits svarstisies no 1 lidz 5. Vardi 'paturet prata' paradisies lidz ar pedejo bultinu seciba. Gatavojies sadzirdet testa skanu un paturi prata šo pedejo skanu. Spied 'Talak', lai redzetu piemeru bultinai bez skanas."
"PIAT_008","Luk, piemers:"
"PIAT_009","Lai parbauditu Tavas izteles precizitati, tiks atskanota testa skana un paradisies balts krustinš. Skana vai nu atbildis tai skanai, kuru Tu esi iztelojies, vai ari neatbildis. Tavs uzdevums bus noteikt, vai ta atbilst vai neatbilst. Spied 'Talak',  lai izmeginatu visu piemeru un megini atbildet pareizi."
"PIAT_010","Luk, viss izmeginajuma variants:"
"PIAT_011","Mes iesakam Tev izmantot vienigi Tavu izteli, atskanojot iztrukstošas skanas sava galva, un nedungot vai nekusteties, kad busi tas iztelojies. No iepriekšejiem testiem mes secinajam, ka, izmantojot tikai izteli, ir labaki testa rezultati."
"PIAT_012","Tagad bus 3 izmeginajuma uzdevumi, pec kuriem Tu sanemsi atgriezenisko saiti. Lai labak izprastu uzdevumu, Tu vari izmeginat tik daudz reižu, cik nepieciešams."
"PIAT_013","Vai pedeja skana atbilst tai skanai, kuru Tu biji iztelojies?"
"PIAT_014","Tu atbildeji pareizi!"
"PIAT_015","Vai Tu velies velreiz izpildit izmeginajuma uzdevumus?"
"PIAT_016","Tagad Tu pariesi pie galvena testa, kura atbildesi uz lidzigiem jautajumiem, kurus tikko biji izmeginajis {{num_items}}. Tu nesanemsi atgriezenisko saiti par šiem jautajumiem. Daži jautajumi varetu but loti gruti, bet neuztraucies, no tevis netiek gaidits, ka viss izdosies pareizi. Ja Tu patiešam nezini atbildi, tad megini uzminet."
"PIAT_017","Jautajums **{{item_number}}** no **{{num_items_in_test}}**."
"PIAT_018","Tu pabeidzi testu!"
"PIAT_019","Tavi dati ir saglabati, ludzu, informe eksperimentetaju."
"PIAT_020","Atbilst"
"PIAT_021","Neatbilst"
"PIAT_022","Ja"
"PIAT_023","Ne"
"PIAT_024","Talak"
"PIAT_025","Tu atbildeji nepareizi."
"PIAT_026","Skanaugstumu izteles tests"
"enter_p_id","Ludzu, ievadi savu dalibnieka ID numuru"
"results_have_been_saved","Tavi rezultati ir saglabati"
"you_may_close_browser","Tagad tu vari aizvert parlukprogrammas logu"
